schema_version,data_version,model,field_name,field_label,value,source_type,status,source_urls,source_scope,last_checked,valid_from,valid_to
1.0.0,2026-09-14.1,AV Access iDock C20,host_support,Host support,2 full-featured USB-C laptop inputs; Windows uses DP MST; macOS is supported but not for dual independent MST desktops.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,display_capability,Display capability,Windows: 2 × 4K @ 60Hz. macOS: two outputs can light but mirror rather than extend independently.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,display_interfaces,Display interfaces,2 × HDMI outputs.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,switching_method,Switching method,Panel button; wired remote switch button supported.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,keyboard_mouse_channel,Keyboard / mouse channel,Shared keyboard/mouse through USB; directly paired Bluetooth input does not automatically follow KVM switching.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,peripheral_usb_capability,Peripheral USB capability,2 × USB 3.0 5Gbps; 4 × USB 2.0 480Mbps; 1 × USB-C data 5Gbps.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,clamshell_support,Clamshell support,Yes; AV Access explicitly lists clamshell support.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,power_delivery,Power Delivery,60W USB-C charging per connected laptop; both hosts remain powered.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,known_non_working_combinations,Known non-working combinations,macOS cannot create two independent extended displays through the C20 MST path; the two monitors also cannot be split one-per-host while USB peripherals are shared.,official_specification,verified,"[""https://www.avaccess.com/products/idock-c20-kvm-switch-docking-station/"",""https://support.avaccess.com/doc/docly-documentation/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,official_support_evidence,Official Support Evidence,"AV Access troubleshooting says MacBook dual displays through this MST path are mirrored rather than independently extended. It also says a 4K display falling to 1080p can depend on the laptop's simultaneous video-stream capability and the monitor port, and recommends lowering resolution/refresh rate when video fails. Source",official_support,verified,"[""https://support.avaccess.com/kvm-switches-and-docks/idock/idock-c20/troubleshootings/""]",record_source,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,public_user_report,Public User Report,未核到,public_user_report,pending,[],none,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,AV Access iDock C20,setupmeld_tested,SetupMeld Tested,未核到,setupmeld_tested,pending,[],none,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,host_support,Host support,USB-C host connection carries DisplayPort video and data; HDMI and DisplayPort inputs are also available.,official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,display_capability,Display capability,"Built-in panel: 1 × 2560 × 1440 @ up to 144Hz; DisplayPort daisy-chain output is supported, with downstream ceiling host-dependent.",official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,display_interfaces,Display interfaces,"HDMI 2.1, DisplayPort 1.4 DSC input/output, USB-C with DisplayPort support.",official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,switching_method,Switching method,Built-in Auto KVM.,official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,keyboard_mouse_channel,Keyboard / mouse channel,Keyboard and mouse share through the built-in USB hub when using KVM.,official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,peripheral_usb_capability,Peripheral USB capability,Built-in USB 3.2 hub.,official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,clamshell_support,Clamshell support,未核到,official_specification,not_verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,power_delivery,Power Delivery,USB-C Power Delivery up to 96W.,official_specification,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,known_non_working_combinations,Known non-working combinations,未核到,official_specification,not_verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/"",""https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa278cgrv/techspec/""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,official_support_evidence,Official Support Evidence,ASUS's product FAQ requires one KVM host to use USB-C with DP Alt Mode; a second host using HDMI or DisplayPort also needs a separate USB upstream cable for keyboard/mouse switching. A video-only second-host cable is therefore not enough for KVM control. Source,official_support,verified,"[""https://www.asus.com/us/displays-desktops/monitors/proart/proart-display-pa278cgrv/""]",record_source,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,public_user_report,Public User Report,未核到,public_user_report,pending,[],none,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,ASUS ProArt PA278CGRV,setupmeld_tested,SetupMeld Tested,未核到,setupmeld_tested,pending,[],none,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,host_support,Host support,"2 USB-C computers; DisplayLink-certified for Windows, macOS and ChromeOS.",official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,display_capability,Display capability,"2 × 4K @ 60Hz external displays, including extended dual displays on base Apple M-series MacBooks through DisplayLink.",official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,display_interfaces,Display interfaces,2 × DisplayPort outputs.,official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,switching_method,Switching method,Push button; downloadable hot-key software for Windows and macOS.,official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,keyboard_mouse_channel,Keyboard / mouse channel,2 × dedicated USB-A USB 2.0 HID ports.,official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,peripheral_usb_capability,Peripheral USB capability,"2 × USB-A + 1 × USB-C at USB 3.2 Gen 2 10Gbps, plus HID USB at 480Mbps.",official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,clamshell_support,Clamshell support,未核到,official_specification,not_verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,power_delivery,Power Delivery,USB PD 3.0: 90W to active host and 45W to second host; both charge simultaneously.,official_specification,verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,known_non_working_combinations,Known non-working combinations,未核到,official_specification,not_verified,"[""https://media.startech.com/cms/pdfs/129n-usbc-kvm-dock_datasheet.pdf"",""https://sgcdn.startech.com/005329/media/sets/129XX-USBC-KVM-DOCK_Manual/129N.UE-USBC-KVM-DOCK_REV1.pdf""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,official_support_evidence,Official Support Evidence,"StarTech's DisplayLink support FAQ says macOS 10.15 or later requires DisplayLink Manager plus the required Screen Recording/accessibility permissions; if the app is not running or permissions are disabled, DisplayLink-driven external displays may not appear. Source",official_support,verified,"[""https://www.startech.com/en-eu/faq/displaylink-manager-app-on-macos""]",record_source,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,public_user_report,Public User Report,"On StarTech's official IT Pro Community, a MacBook Pro M3 user reported the second DisplayLink monitor going black when Screen Recording permission was disabled; StarTech support explained that the permission is required for the virtual display path. This is a DisplayLink support case, not a 129N-specific reliability test. Source",public_user_report,verified,"[""https://community.startech.com/t/why-do-i-have-to-enable-screen-audio-recording-on-macos/971""]",record_source,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,StarTech.com 129N-USBC-KVM-DOCK,setupmeld_tested,SetupMeld Tested,未核到,setupmeld_tested,pending,[],none,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,Dell Thunderbolt Dock WD22TB4,host_support,Host support,"Thunderbolt hosts and USB-C hosts with DisplayPort Alt Mode; Dell lists Windows 10/11, Ubuntu 20.04+ and ChromeOS M107+.",official_specification,verified,"[""https://www.dell.com/support/manuals/en-us/wd22tb4-dock/dell_wd22tb4_userguide/display-resolution-table?guid=guid-fafc77a4-c95f-44df-92ad-608231d11cd9"",""https://www.dell.com/support/manuals/en-sg/wd22tb4-dock/dell_wd22tb4_userguide/product-specifications?guid=guid-bb63fcdf-357e-408c-82f1-c7c56e8d5b4e&lang=en-us""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,Dell Thunderbolt Dock WD22TB4,display_capability,Display capability,2 × 4K @ 60Hz on qualifying Thunderbolt/HBR3/DSC combinations; up to four external displays under specific bandwidth/topology conditions.,official_specification,verified,"[""https://www.dell.com/support/manuals/en-us/wd22tb4-dock/dell_wd22tb4_userguide/display-resolution-table?guid=guid-fafc77a4-c95f-44df-92ad-608231d11cd9"",""https://www.dell.com/support/manuals/en-sg/wd22tb4-dock/dell_wd22tb4_userguide/product-specifications?guid=guid-bb63fcdf-357e-408c-82f1-c7c56e8d5b4e&lang=en-us""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,Dell Thunderbolt Dock WD22TB4,display_interfaces,Display interfaces,"2 × DisplayPort 1.4, HDMI 2.0, MFDP USB-C and Thunderbolt 4 USB-C display paths.",official_specification,verified,"[""https://www.dell.com/support/manuals/en-us/wd22tb4-dock/dell_wd22tb4_userguide/display-resolution-table?guid=guid-fafc77a4-c95f-44df-92ad-608231d11cd9"",""https://www.dell.com/support/manuals/en-sg/wd22tb4-dock/dell_wd22tb4_userguide/product-specifications?guid=guid-bb63fcdf-357e-408c-82f1-c7c56e8d5b4e&lang=en-us""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,Dell Thunderbolt Dock WD22TB4,switching_method,Switching method,"Not a KVM; single-host dock, so switching hosts requires reconnecting upstream or a separate switching layer.",official_specification,verified,"[""https://www.dell.com/support/manuals/en-us/wd22tb4-dock/dell_wd22tb4_userguide/display-resolution-table?guid=guid-fafc77a4-c95f-44df-92ad-608231d11cd9"",""https://www.dell.com/support/manuals/en-sg/wd22tb4-dock/dell_wd22tb4_userguide/product-specifications?guid=guid-bb63fcdf-357e-408c-82f1-c7c56e8d5b4e&lang=en-us""]",model_source_set,2026-09-13,2026-09-14,
1.0.0,2026-09-14.1,Dell Thunderbolt Dock WD22TB4,keyboard_mouse_channel,Keyboard / mouse channel,Standard USB device path; no dedicated KVM keyboard/mouse channel listed.,official_specification,verified,"[""https://www.dell.com/support/manuals/en-us/wd22tb4-dock/dell_wd22tb4_userguide/display-resolution-table?guid=guid-fafc77a4-c95f-44df-92ad-608231d11cd9"",""https://www.dell.com/support/manuals/en-sg/wd22tb4-dock/dell_wd22tb4_userguide/product-specifications?guid=guid-bb63fcdf-357e-408c-82f1-c7c56e8d5b4e&lang=en-us""]",model_source_set,2026-09-13,2026-09-14,
